person,current_company,past_company1,past_company2,past_company3,education,linkedin_group1,linkedin_group2,linkedin_group3,hobby1,hobby2,hobby3
Laura Mccory,BMW,Mercedes,,,Brand Academy - Hochschule für Design und Kommunikation,TigerGraph,,,Basketball,Robotics,
Shemika Ben,Porsche,,,,Universität Leipzig,Cloud,Industry trends,Security,Reading,,
Maryetta Rampy,BMW,Tesla,,,Universität München,Automotive,,,Sailing,,
Joe Soderquist,Opel,Porsche,BMW,Microsoft,Universität Freiburg,Security,,,Tennis,Horse riding,
Gerry Catterson,Audi,Opel,Mercedes,,Universität Freiburg,TigerGraph,Future trends,Automotive,Bowling,,
Donn Reifsteck,Toyota,Lexus,Porsche,TigerGraph,Fachhochschule Aachen,Graph Databases,Industry trends,Airline,Snowboarding,Painting,Dancing
Zofia Leicht,Seat,Lexus,Porsche,TigerGraph,Fachhochschule Dortmund,NoSQL,AI,Cloud,Marathon,,
Scott Vadnais,Volkswagen,,,,Zeppelin University,Airline,Automotive,,Chilling,,
Ione Oxendine,Skoda,,,,Universität Stuttgart,Kubernetes,Airline,TigerGraph,Train Spotting,Sailing,Car Racing
Velvet Clairmont,Opel,Volkswagen,,,Universität zu Lübeck,Graph Databases,Industry trends,TigerGraph,Fencing,,
Peg Dorado,Mercedes,BMW,Microsoft,,Philipps-Universität Marburg,Airline,Future trends,Automotive,Chilling,Meditation,Kayaking
Shoshana Declue,Lexus,Tesla,,,Frankfurt University of Applied Sciences,Future trends,Retail,,Baseball,Marathon,
Wendell Scholtens,Toyota,,,,Universität Freiburg,AI,,,Kite Boarding,Traveling,
Kai Gethers,Audi,TigerGraph,Opel,Microsoft,Hochschule Esslingen,Big Data,Airline,Retail,Running,Basketball,
Carlos Windhorst,Opel,Volkswagen,Skoda,,Universität zu Lübeck,NoSQL,Graph Databases,Retail,Traveling,,
Juan Whapham,Seat,Porsche,TigerGraph,,Goethe-Universität Frankfurt am Main,NoSQL,Cloud,,Photography,Kite Boarding,Car Racing
Marisela Lopiccolo,Volkswagen,TigerGraph,,,Technische Universität Braunschweig,Analytics,Kubernetes,Airline,Hiking,Scuba Diving,
Rachael Mearse,Toyota,Audi,Lexus,Volkswagen,Friedrich-Alexander-Universität Erlangen-Nürnberg,Graph Databases,Automotive,,Snowboarding,Golf,Car Racing
Fae Ellinger,Toyota,Opel,,,Leibniz-Fachhochschule,AI,Retail,,Skiing,Meditation,
Jaunita Mcculloch,Lexus,Volkswagen,Skoda,Tesla,Universität Regensburg,AI,Kubernetes,GSQL,Rafting,,
Brock Bulisco,Microsoft,Mercedes,,,Universität Stuttgart,NoSQL,,,Reading,,
Aron Sullenberger,Lexus,Volkswagen,Skoda,Mercedes,Leibniz-Fachhochschule,Industry trends,Retail,GSQL,Golf,,
Perry Bussani,Toyota,,,,Leibniz-Fachhochschule,Industry trends,GSQL,,Martial Arts,Tennis,
Akiko Sandovar,Porsche,Tesla,,,Technische Hochschule Mittelhessen,Future trends,Retail,,Couch potatoing,Mountain Biking,Tennis
Zoila Palino,Lexus,Porsche,,,Technische Hochschule Mittelhessen,Analytics,,,Electronics,Badminton,
Lorna Morch,TigerGraph,BMW,,,Hochschule Macromedia,AI,Industry trends,Graph Databases,Skiing,Fencing,Car Racing
Tilda Jesenovec,Seat,TigerGraph,,,Hochschule Rosenheim,Analytics,NoSQL,,Chilling,,
Gabriele Betts,Toyota,Seat,Microsoft,,Universität Konstanz,Graph Databases,,,Train Spotting,,
Ted Vancleaf,Seat,Porsche,Tesla,,Universität Passau,Analytics,AI,Security,Photography,Rafting,
Keiko Fordham,Toyota,Seat,TigerGraph,Skoda,FernUniversität in Hagen,GSQL,,,Train Spotting,Hunting,Car Racing
Delmy Suchanek,Porsche,Mercedes,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,Analytics,Cloud,,Motorcycles,Electronics,Fishing
Claudio Sabino,Mercedes,Lexus,Tesla,,Universität Ulm,Kubernetes,Industry trends,TigerGraph,Running,Golf,Gardening
Kathe Nudelman,Toyota,Opel,TigerGraph,Seat,Heinrich-Heine-Universität Düsseldorf,NoSQL,Kubernetes,,Playing music,,
Herb Pike,Opel,,,,Hochschule Fresenius,Cloud,Kubernetes,NoSQL,Parachuting,,
Lonnie Dapolito,Toyota,TigerGraph,BMW,Mercedes,Universität Regensburg,Cloud,Airline,Retail,Paragliding,,
Tiara Fraschilla,Porsche,Skoda,,,Universität Freiburg,Airline,GSQL,,Basketball,,
Noel Takaoka,Seat,Audi,Volkswagen,BMW,Universität der Bundeswehr München,Future trends,Security,Retail,Couch potatoing,Scuba Diving,Horse riding
Shenika Shult,Tesla,Seat,Audi,,Universität Freiburg,Airline,,,Paragliding,Kayaking,Robotics
Coy Littell,Skoda,,,,Universität Ulm,Cloud,AI,Security,Kite Boarding,Astronomy,
Catarina Gaddie,Porsche,TigerGraph,Skoda,Mercedes,Universität Stuttgart,Graph Databases,,,Chess,,
Belinda Jalkut,Toyota,Seat,Opel,,Universität Stuttgart,Cloud,Future trends,Automotive,Geocaching,Electronics,
Cary Sias,BMW,,,,Hochschule für angewandte Wissenschaften München,Security,,,Tennis,Fencing,Playing music
Prudence Esquerre,Opel,TigerGraph,BMW,Microsoft,Technische Hochschule Mittelhessen,NoSQL,Cloud,GSQL,Fencing,Scuba Diving,
Angelyn Glick,Volkswagen,,,,Universität zu Lübeck,NoSQL,Graph Databases,,Hiking,Bicycling,Astronomy
Johnnie Heiliger,Volkswagen,,,,Hochschule Rosenheim,Analytics,TigerGraph,Retail,Reading,,
Jamie Hagan,Audi,Opel,Microsoft,,Hochschule Fresenius,TigerGraph,Retail,,Couch potatoing,Chess,
Gretta Shimp,Audi,BMW,,,Hochschule für angewandte Wissenschaften München,Cloud,Kubernetes,Automotive,Painting,,
Hipolito Debutiaco,Toyota,Seat,Mercedes,,Hochschule Landshut,Kubernetes,,,Electronics,Cooking,
Matha Madole,TigerGraph,Microsoft,,,Munich Business School,Cloud,Future trends,GSQL,Fishing,,
Leila Guethle,Audi,,,,Universität Ulm,Kubernetes,Airline,,Kayaking,,
Lennie Gerundo,Microsoft,,,,Universität zu Köln,Security,GSQL,,Hunting,,
Bruno Stjohn,Toyota,Seat,BMW,Mercedes,Johannes Gutenberg-Universität Mainz,Kubernetes,GSQL,,Traveling,,
Aline Rosenbeck,Toyota,Volkswagen,,,Hochschule Macromedia,NoSQL,Future trends,Analytics,Running,Bicycling,Train Spotting
Nettie Wexler,Opel,Toyota,Seat,BMW,Brand Academy - Hochschule für Design und Kommunikation,AI,Airline,,Gardening,Parachuting,Hunting
Rachele Dockray,Toyota,Porsche,,,Technische Universität Kaiserslautern,Analytics,AI,Graph Databases,Train Spotting,Rafting,
Erminia Cadoy,Opel,Microsoft,,,Technische Universität München,Graph Databases,Kubernetes,,Chilling,Horse riding,Marathon
Tawanna Marrello,Lexus,Volkswagen,,,Hochschule Neu-Ulm,Graph Databases,,,Baseball,Parachuting,Horse riding
Keren Kiner,Toyota,Volkswagen,,,Beuth Hochschule für Technik Berlin,GSQL,,,Running,Fencing,
Shiela Scaringi,BMW,,,,Philipps-Universität Marburg,NoSQL,Graph Databases,TigerGraph,Mountain Biking,Basketball,
Thomasina Setton,Volkswagen,Mercedes,,,Hochschule Fresenius,TigerGraph,,,Astronomy,,
Aliza Groscost,Toyota,Audi,TigerGraph,Microsoft,Hochschule Landshut,TigerGraph,GSQL,,Bowling,,
Isis Srader,Tesla,Mercedes,,,Universität Würzburg,NoSQL,TigerGraph,Analytics,Darts,Mountain Biking,Chess
Moira Clance,Audi,Lexus,Volkswagen,Tesla,Philipps-Universität Marburg,Industry trends,,,Parachuting,,
Hettie Crown,Tesla,,,,Technische Universität Darmstadt,Analytics,,,Cooking,Chess,Bicycling
Denny Arnoldy,Toyota,Audi,BMW,Microsoft,Universität Regensburg,Big Data,,,Running,Painting,
Shirleen Schreder,Audi,,,,Universität Augsburg,AI,TigerGraph,,Snowboarding,Meditation,Relaxing
Lucy Mucklow,Volkswagen,,,,Universität Freiburg,Cloud,Analytics,Retail,Horse riding,Rafting,
Gudrun Protz,Toyota,,,,Universität Stuttgart,Analytics,,,Fencing,,
Lauri Jurgensmeyer,BMW,,,,Hochschule Landshut,Security,GSQL,,Horse riding,Marathon,TV watching
Tamiko Kiss,Audi,Porsche,BMW,,Philipps-Universität Marburg,GSQL,,,Darts,Traveling,Rafting
Joellen Oland,Toyota,Porsche,,,Frankfurt University of Applied Sciences,Cloud,Industry trends,Security,Kayaking,Playing music,
Melonie Jolin,Seat,Audi,Microsoft,,Beuth Hochschule für Technik Berlin,Big Data,Security,GSQL,Car Racing,,
Hosea Schakel,Toyota,Porsche,BMW,Mercedes,Goethe-Universität Frankfurt am Main,Analytics,Airline,,Hiking,Baseball,Calligraphy
Letha Schoberg,Toyota,Audi,Lexus,Seat,Universität zu Köln,Industry trends,,,Train Spotting,,
Sanford Moury,Porsche,Volkswagen,BMW,Tesla,Philipps-Universität Marburg,TigerGraph,,,Running,Mountain Biking,
Judi Hanberry,Tesla,Toyota,Microsoft,Mercedes,Technische Universität Darmstadt,Big Data,GSQL,,Baseball,,
Chaya Bestwick,Mercedes,Opel,Audi,,Technische Universität Darmstadt,Graph Databases,TigerGraph,Retail,Playing music,,
Kori Baumohl,Opel,BMW,Skoda,,Universität Stuttgart,Analytics,Big Data,Future trends,Photography,,
Salena Maccallum,Audi,TigerGraph,,,Heinrich-Heine-Universität Düsseldorf,NoSQL,Analytics,GSQL,Baseball,Train Spotting,Playing music
Ida Arnstein,Skoda,,,,Universität Regensburg,NoSQL,Security,Analytics,Stamp Collecting,,
An Mako,Opel,,,,Hochschule Esslingen,Analytics,Future trends,,Relaxing,Reading,Parachuting
Katharyn Consalvo,Lexus,,,,Fachhochschule Dortmund,AI,Graph Databases,,Parachuting,Stamp Collecting,Car Racing
Stephan Lubelski,Porsche,Volkswagen,Skoda,,Hochschule Esslingen,Analytics,Security,NoSQL,Reading,Chess,
Houston Foggs,Tesla,,,,Goethe-Universität Frankfurt am Main,TigerGraph,Future trends,,TV watching,,
Davina Parten,Skoda,TigerGraph,BMW,Tesla,Hochschule der Bundesagentur für Arbeit,Kubernetes,GSQL,,Martial Arts,TV watching,
Stephen Fasy,Seat,Lexus,Volkswagen,,Technische Universität Darmstadt,AI,Future trends,GSQL,Dancing,Aeromodeling,Horse riding
Michael Stephco,Opel,Porsche,TigerGraph,Volkswagen,Technische Universität Berlin,NoSQL,Big Data,,Photography,Kite Boarding,
Eric Mastin,Volkswagen,TigerGraph,BMW,Audi,Universität Passau,AI,,,Kite Boarding,,
Opal Campanella,Microsoft,,,,Universität Konstanz,Industry trends,GSQL,,Running,Reading,
Brigette Mencia,Microsoft,,,,Hochschule der Bundesagentur für Arbeit,Big Data,,,Dog walking,Martial Arts,Astronomy
Jannet Malo,Seat,Porsche,Audi,,Hochschule Rosenheim,Big Data,Industry trends,,Hiking,Painting,
Maryland Buechner,Audi,,,,Universität zu Lübeck,Big Data,Graph Databases,AI,Fishing,,
Cindi Buddle,Audi,Opel,,,Universität Würzburg,TigerGraph,,,Calligraphy,,
Britteny Klette,Toyota,Opel,BMW,,Universität Augsburg,AI,Future trends,Automotive,TV watching,,
Song Schecter,Audi,Volkswagen,Mercedes,,Universität Augsburg,TigerGraph,Security,Automotive,Skateboarding,,
Kasi Humphrys,TigerGraph,Mercedes,,,Universität zu Köln,Cloud,Big Data,,Football,Kayaking,Brewing Beer
Tamisha Pingel,Lexus,Porsche,TigerGraph,,Hochschule Macromedia,Analytics,Airline,Automotive,Train Spotting,Painting,Badminton
Trang Carnie,Toyota,BMW,,,Universität Stuttgart,Kubernetes,Retail,,Calligraphy,,
Yasuko Dross,Skoda,,,,Universität zu Köln,Big Data,Airline,Future trends,Martial Arts,Sailing,Horse riding
Julene Bjorgen,Lexus,Porsche,BMW,,Brand Academy - Hochschule für Design und Kommunikation,Analytics,Security,,Geocaching,,
Valencia Przepiora,Seat,TigerGraph,Volkswagen,,Universität Erfurt,Industry trends,,,Fishing,Playing music,
Lizzette Pompilio,TigerGraph,,,,Technische Universität München,Graph Databases,GSQL,,Aeromodeling,,
Nelida Anderberg,Porsche,TigerGraph,,,Hochschule für angewandte Wissenschaften München,Graph Databases,,,Geocaching,Chess,
Joselyn Poortinga,Seat,Lexus,Skoda,,Johannes Gutenberg-Universität Mainz,Security,,,Kite Boarding,,
Logan Erdelt,Opel,TigerGraph,Skoda,Mercedes,Hochschule der Bundesagentur für Arbeit,Industry trends,TigerGraph,Retail,Marathon,,
Odell Zenisek,Skoda,,,,Universität Stuttgart,Big Data,Future trends,Retail,Kite Boarding,,
Marisha Jaskiewicz,Audi,,,,Universität Regensburg,Automotive,Security,,Scuba Diving,,
Bradley Beckers,BMW,,,,Fachhochschule Dortmund,Kubernetes,Big Data,,Basketball,,
Abe Reza,Lexus,BMW,,,Universität der Bundeswehr München,Big Data,Industry trends,GSQL,Motorcycles,Electronics,
Christene Alfonsi,Lexus,,,,Technische Universität Darmstadt,TigerGraph,,,Calligraphy,,
Ardath Living,Volkswagen,,,,Fachhochschule Aachen,Graph Databases,Industry trends,,Traveling,,
Gena Callam,BMW,,,,Philipps-Universität Marburg,NoSQL,Future trends,Security,Fencing,,
Ema Rouselle,BMW,Skoda,,,Goethe-Universität Frankfurt am Main,TigerGraph,Automotive,,Stamp Collecting,,
Caleb Hilsgen,Audi,Mercedes,,,Universität Stuttgart,Graph Databases,Security,Retail,Relaxing,,
Virginia Lucarelli,Volkswagen,Tesla,,,Universität Hamburg,Industry trends,Future trends,,Paragliding,Skateboarding,Parachuting
Ellis Carcia,Tesla,,,,Technische Hochschule Mittelhessen,Analytics,Airline,GSQL,Reading,Aeromodeling,
Marilynn Korczynski,Audi,BMW,Mercedes,,Hochschule Rosenheim,AI,Airline,,Bowling,Golf,Marathon
Charlott Devaux,Volkswagen,Porsche,Mercedes,,Technische Universität München,Cloud,Graph Databases,TigerGraph,Baseball,Bowling,TV watching
Catarina Portes,Lexus,Skoda,,,Hochschule Neu-Ulm,Kubernetes,,,Baseball,Bicycling,
Laure Brangers,Toyota,Audi,,,Universität Konstanz,Automotive,,,Chilling,,
Guillermo Donchez,Opel,Mercedes,,,Universität Augsburg,Analytics,GSQL,,Basketball,,
Robbyn Ausdemore,Porsche,,,,Technische Hochschule Mittelhessen,Analytics,Industry trends,NoSQL,Golf,,
Preston Mcaleese,Opel,Lexus,Porsche,Microsoft,Universität Erfurt,Automotive,,,Hiking,Skiing,Scuba Diving
Jade Hovick,Lexus,Mercedes,,,Technische Universität München,Industry trends,AI,Airline,Rafting,,
Demetra Grix,Toyota,,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,AI,Future trends,Retail,Marathon,,
Regenia Cornely,Tesla,BMW,Microsoft,,Technische Hochschule Mittelhessen,Cloud,AI,,Skiing,Basketball,Playing music
Patrice Barvosa,Toyota,Opel,TigerGraph,Tesla,Hochschule für angewandte Wissenschaften München,NoSQL,,,Train Spotting,Bowling,Hunting
Oliver Frevert,BMW,Audi,Volkswagen,Opel,Universität Passau,NoSQL,Analytics,GSQL,Reading,,
Tammara Carbonneau,Lexus,BMW,,,Johannes Gutenberg-Universität Mainz,Analytics,Kubernetes,Automotive,Martial Arts,Tennis,Marathon
Madelene Vazques,Opel,Lexus,Porsche,Audi,Brand Academy - Hochschule für Design und Kommunikation,Analytics,Security,,Rafting,,
Leonel Yessios,Porsche,Microsoft,,,Leibniz-Fachhochschule,Big Data,Retail,,Hiking,Mountain Biking,Car Racing
Rory Pflueger,Audi,Porsche,Opel,Tesla,Technische Universität Braunschweig,AI,,,Brewing Beer,,
Darcel Wortham,Opel,BMW,Mercedes,,Hochschule Fresenius,Big Data,Automotive,Retail,Painting,Traveling,
Margeret Golk,Audi,Porsche,TigerGraph,,Beuth Hochschule für Technik Berlin,Analytics,,,Gardening,Scuba Diving,
Rosamaria Bleiler,BMW,Skoda,,,Hochschule Esslingen,TigerGraph,,,Skiing,Meditation,
Lavona Frisell,Audi,Skoda,,,Universität Stuttgart,Future trends,Security,Retail,Snowboarding,,
Laurene Bouyer,Toyota,Mercedes,Microsoft,,Universität zu Köln,NoSQL,,,Train Spotting,Electronics,Golf
Thaddeus Weigelt,Seat,Opel,BMW,,Hochschule Rosenheim,Kubernetes,,,Running,Chess,
Bradford Uchida,Opel,TigerGraph,Skoda,,Philipps-Universität Marburg,Analytics,Airline,GSQL,Basketball,Aeromodeling,Car Racing
Dorotha Bleiler,Opel,Volkswagen,BMW,Microsoft,Technische Universität Kaiserslautern,Cloud,TigerGraph,GSQL,Motorcycles,Geocaching,Relaxing
Latosha Heavener,Volkswagen,Microsoft,,,Hochschule für angewandte Wissenschaften München,GSQL,,,Train Spotting,,
Silvia Pechal,BMW,,,,Universität Hamburg,Cloud,Future trends,,Photography,Kayaking,
Broderick Woolum,Toyota,,,,Technische Universität München,Graph Databases,TigerGraph,Security,Cooking,,
Denver Larios,Toyota,TigerGraph,,,FernUniversität in Hagen,TigerGraph,Automotive,,Skiing,Robotics,
Victorina Zevallos,Volkswagen,BMW,,,Beuth Hochschule für Technik Berlin,Analytics,Graph Databases,GSQL,Dancing,TV watching,
Kathrin Ruschmeyer,Skoda,,,,Hochschule für angewandte Wissenschaften München,AI,Industry trends,Automotive,Paragliding,Motorcycles,Horse riding
Raymonde Achille,Porsche,TigerGraph,,,Philipps-Universität Marburg,Cloud,AI,NoSQL,TV watching,,
Cassidy Zarycki,Toyota,Lexus,Porsche,,Johannes Gutenberg-Universität Mainz,Security,,,Photography,Scuba Diving,Robotics
Erick Orrock,Opel,BMW,Tesla,,Universität zu Lübeck,AI,Industry trends,Airline,Snowboarding,,
Usha Menzie,BMW,Opel,Skoda,Microsoft,Technische Universität Kaiserslautern,TigerGraph,Future trends,GSQL,Martial Arts,,
Jarrett Vanliere,Opel,Lexus,,,Universität München,Cloud,Graph Databases,,Skiing,,
Tyra Hultquist,Mercedes,,,,Universität Regensburg,Security,,,Football,,
Don Soltmann,Audi,Mercedes,,,Fachhochschule Aachen,NoSQL,Airline,GSQL,Paragliding,Electronics,Rafting
Virgil Carnagey,TigerGraph,Skoda,,,Universität Erfurt,Airline,TigerGraph,,Hiking,,
Johnette Papineau,Skoda,Tesla,,,Johannes Gutenberg-Universität Mainz,Kubernetes,Graph Databases,,Mountain Biking,Golf,Car Racing
Antoinette Mugica,Volkswagen,TigerGraph,,,Technische Universität Braunschweig,Security,,,Relaxing,Running,
Kaylee Fraioli,Mercedes,Volkswagen,BMW,Tesla,Universität Passau,Analytics,TigerGraph,,Chess,Calligraphy,
Evalyn Dioneff,Porsche,,,,Universität Ulm,Future trends,Retail,,Meditation,Fencing,Sailing
Mariam Sam,Seat,TigerGraph,Skoda,,Hochschule Rosenheim,Industry trends,,,Hunting,,
Fritz Stjulian,Opel,Porsche,Microsoft,Audi,Technische Universität Berlin,Graph Databases,Kubernetes,Automotive,Paragliding,Skateboarding,Traveling
Bobbi Mckeeman,Lexus,Tesla,,,Universität Passau,Airline,GSQL,,Geocaching,Chess,Scuba Diving
Nadene Mandino,BMW,Audi,Porsche,TigerGraph,Hochschule Fresenius,Analytics,,,Photography,Tennis,Kayaking
Oralia Gladson,Lexus,Porsche,Mercedes,,Universität der Bundeswehr München,Big Data,,,Cooking,Dancing,
Lorilee Durr,Opel,Tesla,,,Technische Hochschule Mittelhessen,AI,Automotive,Retail,Chess,,
Denita Durden,Seat,Audi,Opel,Microsoft,Technische Universität Darmstadt,Cloud,Security,,Meditation,Marathon,
Vernia Cecilio,Opel,Porsche,BMW,,Universität Konstanz,Future trends,,,Chilling,Aeromodeling,Sailing
Bernadine Baba,Audi,Volkswagen,TigerGraph,Skoda,Technische Universität Berlin,Big Data,Airline,GSQL,Reading,,
Jerold Corkery,Mercedes,,,,Fachhochschule Aachen,GSQL,,,Bicycling,Astronomy,Hunting
Sherrie Camuso,Skoda,,,,Universität Passau,Big Data,Airline,,Kite Boarding,Photography,
Shelby Ajose,Seat,Mercedes,,,Universität Freiburg,Airline,,,Train Spotting,Marathon,Robotics
Susy Matchett,Lexus,,,,Technische Hochschule Mittelhessen,NoSQL,TigerGraph,Future trends,Stamp Collecting,,
Rhiannon Molter,Skoda,Lexus,Volkswagen,BMW,Philipps-Universität Marburg,Airline,Future trends,,Fishing,Basketball,Dog walking
Annalisa Hoppa,Toyota,Seat,Lexus,Porsche,Zeppelin University,Security,,,Couch potatoing,Bicycling,
Rosanna Cottrell,Opel,Lexus,TigerGraph,,Universität Passau,Cloud,Analytics,,Baseball,Car Racing,
Thaddeus Villalvazo,TigerGraph,Tesla,,,Johannes Gutenberg-Universität Mainz,Future trends,Retail,,Photography,Stamp Collecting,
Marisha Vanstrander,TigerGraph,,,,Johannes Gutenberg-Universität Mainz,NoSQL,Graph Databases,Automotive,Kite Boarding,Snowboarding,Electronics
Tona Depriest,Audi,Microsoft,,,Universität Freiburg,Security,,,Relaxing,Playing music,TV watching
Juliann Patwell,Seat,Opel,Mercedes,,Universität zu Köln,AI,,,Running,Reading,Bicycling
Alva Kohlmyer,Volkswagen,TigerGraph,,,Hochschule Fresenius,Future trends,,,Traveling,,
Ross Suchecki,Mercedes,Lexus,TigerGraph,Tesla,Hochschule für angewandte Wissenschaften München,Security,Automotive,,Train Spotting,Chess,Sailing
Dean Rehn,Microsoft,,,,Hochschule für angewandte Wissenschaften München,Analytics,,,Motorcycles,Astronomy,
Fatimah Groner,Tesla,Seat,Microsoft,,Hochschule für angewandte Wissenschaften München,Security,,,Traveling,,
Elida Morisseau,Tesla,Audi,Microsoft,,Hochschule Landshut,Graph Databases,,,Running,Skiing,Fencing
Angeles Shimizu,Toyota,Opel,Volkswagen,,Hochschule Rosenheim,Big Data,Graph Databases,,Skiing,Astronomy,
Olinda Zuckerberg,Toyota,,,,Hochschule für angewandte Wissenschaften München,Kubernetes,,,Hunting,Marathon,
Yi Baddour,Seat,Volkswagen,Tesla,,Hochschule Landshut,Big Data,TigerGraph,,Photography,,
Leonel Labbie,Seat,,,,Hochschule für angewandte Wissenschaften München,Kubernetes,Graph Databases,Big Data,Electronics,Fencing,
Han Poston,BMW,,,,Beuth Hochschule für Technik Berlin,TigerGraph,,,Scuba Diving,,
Madaline Salyards,Mercedes,Audi,Porsche,Microsoft,Technische Universität Berlin,Big Data,Industry trends,Security,Paragliding,Snowboarding,Hiking
Jonell Randleman,Porsche,TigerGraph,,,Hochschule Neu-Ulm,Industry trends,Security,,Badminton,,
Nena Tunget,Opel,Skoda,Tesla,,Johannes Gutenberg-Universität Mainz,Cloud,Graph Databases,Security,Paragliding,Geocaching,
Tisa Hartsoe,Volkswagen,Porsche,Audi,,Hochschule Esslingen,Cloud,Graph Databases,,Fishing,Geocaching,Skateboarding
Shauna Lessey,Opel,BMW,Microsoft,,Universität der Bundeswehr München,AI,,,Basketball,Kayaking,
Gwen Knights,BMW,,,,Goethe-Universität Frankfurt am Main,Graph Databases,,,Golf,Bicycling,TV watching
Huong Salceda,BMW,,,,FernUniversität in Hagen,Retail,,,Brewing Beer,Golf,Astronomy
Felisa Tolleson,Audi,,,,Philipps-Universität Marburg,Future trends,,,Chilling,,
Liliana Krenz,Toyota,Seat,Skoda,Tesla,Universität zu Lübeck,Analytics,TigerGraph,,Snowboarding,Bowling,
Rey Bresolin,Toyota,Microsoft,,,Beuth Hochschule für Technik Berlin,Cloud,Graph Databases,Automotive,Football,Martial Arts,Brewing Beer
Albina Arana,Porsche,,,,Johannes Gutenberg-Universität Mainz,Future trends,,,Photography,,
Stuart Mccoy,Porsche,TigerGraph,Microsoft,,Universität Regensburg,Analytics,Automotive,Cloud,Motorcycles,Chess,Scuba Diving
Stuart Peaks,Skoda,,,,Hochschule Fresenius,Cloud,,,Chilling,Baseball,Reading
Hayley Hammill,Opel,TigerGraph,BMW,Microsoft,Technische Universität Braunschweig,Industry trends,,,Darts,Train Spotting,
Tomika Nikula,BMW,Seat,Skoda,,Universität Freiburg,AI,,,Football,TV watching,
Andree Creasey,TigerGraph,,,,Munich Business School,Automotive,GSQL,,Running,Electronics,
Kandi Lampi,Porsche,,,,Munich Business School,Analytics,Airline,Security,Gardening,Fencing,
Lizette Svobodny,Volkswagen,BMW,Tesla,,Technische Universität Braunschweig,NoSQL,Future trends,Retail,Calligraphy,,
Kenya Paith,Opel,TigerGraph,BMW,,Philipps-Universität Marburg,GSQL,,,Dancing,Stamp Collecting,Aeromodeling
Brook Boerma,Seat,Audi,Lexus,Porsche,Universität Hamburg,Cloud,Industry trends,TigerGraph,Traveling,,
Le Odonnel,Seat,,,,Frankfurt University of Applied Sciences,Cloud,AI,Big Data,Electronics,Car Racing,
Jaquelyn Cimeno,Toyota,TigerGraph,Skoda,,Universität Stuttgart,NoSQL,Graph Databases,Industry trends,Calligraphy,,
Evelyn Bashor,Toyota,Mercedes,,,Philipps-Universität Marburg,TigerGraph,Security,Retail,Hiking,Reading,
Shala Rosiak,Toyota,Seat,Mercedes,Microsoft,Hochschule Neu-Ulm,Cloud,AI,GSQL,Running,Dancing,
Magdalene Nikolai,Toyota,Audi,Lexus,,Technische Universität Darmstadt,Retail,,,Geocaching,Robotics,
Tamisha Brade,Skoda,Microsoft,,,Philipps-Universität Marburg,TigerGraph,Future trends,GSQL,Chess,,
Chantel Aluqdah,Seat,Volkswagen,,,Technische Universität Darmstadt,Analytics,,,Mountain Biking,,
Silas Jeong,Skoda,Microsoft,,,Brand Academy - Hochschule für Design und Kommunikation,Analytics,,,Cooking,Chess,Stamp Collecting
Delphine Lindinha,Seat,Opel,Mercedes,,Technische Universität Berlin,Industry trends,Future trends,Security,Bowling,,
Latisha Virostko,Toyota,Tesla,,,Universität zu Köln,NoSQL,Big Data,GSQL,Bowling,Painting,Horse riding
Doreen Klawinski,Audi,Opel,Mercedes,,Zeppelin University,Kubernetes,Airline,,Dog walking,Aeromodeling,TV watching
Amber Federkeil,Volkswagen,Tesla,,,Universität Erfurt,Cloud,,,Chilling,Bicycling,Dancing
Ray Benak,Seat,Lexus,Volkswagen,,Universität zu Köln,Cloud,Big Data,TigerGraph,Bowling,,
Lynn Deslauriers,Seat,,,,Technische Universität Berlin,Security,,,Train Spotting,Marathon,
Noel Guidos,Audi,Mercedes,,,Universität München,NoSQL,AI,,Bowling,Sailing,
Jeffie Stano,Toyota,Skoda,Mercedes,,Technische Universität Berlin,Big Data,Airline,,Painting,,
Chia Shortino,Opel,Volkswagen,BMW,Skoda,Fachhochschule Dortmund,Retail,,,Photography,Meditation,Football
Mallory Voorhis,Opel,,,,Fachhochschule Aachen,Cloud,,,Brewing Beer,Parachuting,
Leif Wilder,Toyota,TigerGraph,BMW,,Hochschule Neu-Ulm,Kubernetes,Graph Databases,,Fishing,Robotics,Traveling
Horace Eckhardt,Seat,Microsoft,,,Goethe-Universität Frankfurt am Main,Analytics,AI,,Running,,
Hilary Cofone,Audi,Volkswagen,Mercedes,,Technische Universität Kaiserslautern,Industry trends,Future trends,Retail,Dog walking,Chess,Brewing Beer
August Rinke,Porsche,Skoda,,,Universität Hamburg,Airline,TigerGraph,GSQL,Fishing,Kayaking,
Herman Kragh,Tesla,Microsoft,,,Friedrich-Alexander-Universität Erlangen-Nürnberg,NoSQL,,,Dog walking,,
Addie Villanova,Lexus,,,,Hochschule Fresenius,AI,Big Data,,Skateboarding,Calligraphy,
Adolph Cuthill,Mercedes,Seat,Microsoft,,Universität Würzburg,Analytics,AI,,Bowling,Badminton,Calligraphy
Hilda Vanderbeck,Toyota,Volkswagen,Tesla,,Technische Universität Berlin,NoSQL,Kubernetes,TigerGraph,Football,,
Vicki Leftridge,Microsoft,,,,Universität Konstanz,Future trends,,,Traveling,,
